"X","group","names","scores","logfoldchanges","pvals","pvals_adj","cluster","avg_log2FC","p_val_adj","gene"
45580,1,"arahy.Tifrunner.gnm2.ann2.Ah05g371500",24.770086,1.5037093,1.88391619278046e-135,1.40595738951045e-132,1,1.5037093,1.40595738951045e-132,"arahy.Tifrunner.gnm2.ann2.Ah05g371500"
45581,1,"STRG.1454",24.74065,2.94814,3.90878214533125e-135,2.87005481264613e-132,1,2.94814,2.87005481264613e-132,"STRG.1454"
45582,1,"arahy.Tifrunner.gnm2.ann2.Ah19g073000",24.44872,2.9504223,5.19254611293396e-132,3.69352295695634e-129,1,2.9504223,3.69352295695634e-129,"arahy.Tifrunner.gnm2.ann2.Ah19g073000"
45583,1,"arahy.Tifrunner.gnm2.ann2.Ah10g092000",23.259905,1.9456238,1.12937272901444e-119,7.78993395691715e-117,1,1.9456238,7.78993395691715e-117,"arahy.Tifrunner.gnm2.ann2.Ah10g092000"
45584,1,"arahy.Tifrunner.gnm2.ann2.Ah12g239600",23.18182,2.8672,6.94650154797192e-119,4.71988860402796e-116,1,2.8672,4.71988860402796e-116,"arahy.Tifrunner.gnm2.ann2.Ah12g239600"
45585,1,"arahy.Tifrunner.gnm2.ann2.Ah19g376300",22.697792,2.9574728,4.71072315177173e-114,3.15369059943024e-111,1,2.9574728,3.15369059943024e-111,"arahy.Tifrunner.gnm2.ann2.Ah19g376300"
45586,1,"arahy.Tifrunner.gnm2.ann2.Ah13g490500",22.5662,2.8872142,9.31103896403276e-113,6.09900250433392e-110,1,2.8872142,6.09900250433392e-110,"arahy.Tifrunner.gnm2.ann2.Ah13g490500"
45587,1,"arahy.Tifrunner.gnm2.ann2.Ah07g179100",22.565884,3.1388035,9.37813406781861e-113,6.09900250433392e-110,1,3.1388035,6.09900250433392e-110,"arahy.Tifrunner.gnm2.ann2.Ah07g179100"
45588,1,"arahy.Tifrunner.gnm2.ann2.Ah09g054000",22.45424,2.6083055,1.16326688111641e-111,7.35507798554769e-109,1,2.6083055,7.35507798554769e-109,"arahy.Tifrunner.gnm2.ann2.Ah09g054000"
45589,1,"arahy.Tifrunner.gnm2.ann2.Ah20g079200",22.268791,2.9560783,7.41737772800266e-110,4.62559868067936e-107,1,2.9560783,4.62559868067936e-107,"arahy.Tifrunner.gnm2.ann2.Ah20g079200"
45590,1,"arahy.Tifrunner.gnm2.ann2.Ah06g040500",21.733273,2.79403,9.94552415459779e-105,6.03680055485213e-102,1,2.79403,6.03680055485213e-102,"arahy.Tifrunner.gnm2.ann2.Ah06g040500"
45591,1,"arahy.Tifrunner.gnm2.ann2.Ah03g231100",21.217735,3.008528,6.55040989610245e-100,3.92369552776536e-97,1,3.008528,3.92369552776536e-97,"arahy.Tifrunner.gnm2.ann2.Ah03g231100"
45592,1,"arahy.Tifrunner.gnm2.ann2.Ah11g002700",20.769567,3.5168486,8.15899127935767e-96,4.82376518183739e-93,1,3.5168486,4.82376518183739e-93,"arahy.Tifrunner.gnm2.ann2.Ah11g002700"
45593,1,"arahy.Tifrunner.gnm2.ann2.Ah02g312700",20.668453,3.6298625,6.66172809072085e-95,3.88805781540995e-92,1,3.6298625,3.88805781540995e-92,"arahy.Tifrunner.gnm2.ann2.Ah02g312700"
45594,1,"STRG.3208",20.34721,1.7715966,4.91463432114719e-92,2.79667266044881e-89,1,1.7715966,2.79667266044881e-89,"STRG.3208"
45595,1,"STRG.1669",20.308584,2.7215762,1.07971225632902e-91,6.06824947618793e-89,1,2.7215762,6.06824947618793e-89,"STRG.1669"
45596,1,"arahy.Tifrunner.gnm2.ann2.Ah15g532900",20.219461,3.232985,6.59988937837737e-91,3.61992004893074e-88,1,3.232985,3.61992004893074e-88,"arahy.Tifrunner.gnm2.ann2.Ah15g532900"
45597,1,"arahy.Tifrunner.gnm2.ann2.Ah03g078700",20.025091,2.836311,3.32896157234839e-89,1.80413865023319e-86,1,2.836311,1.80413865023319e-86,"arahy.Tifrunner.gnm2.ann2.Ah03g078700"
45598,1,"STRG.1498",20.016619,2.1731386,3.94614321986676e-89,2.11346145813193e-86,1,2.1731386,2.11346145813193e-86,"STRG.1498"
45599,1,"arahy.Tifrunner.gnm2.ann2.Ah07g005300",19.998148,1.8538077,5.71555573233129e-89,3.02552278091453e-86,1,1.8538077,3.02552278091453e-86,"arahy.Tifrunner.gnm2.ann2.Ah07g005300"
45600,1,"arahy.Tifrunner.gnm2.ann2.Ah12g037400",19.757431,3.1082833,6.92397535191076e-87,3.62306958529178e-84,1,3.1082833,3.62306958529178e-84,"arahy.Tifrunner.gnm2.ann2.Ah12g037400"
45601,1,"arahy.Tifrunner.gnm2.ann2.Ah10g329400",19.731415,3.3744695,1.1587942590585e-86,5.9946533919749e-84,1,3.3744695,5.9946533919749e-84,"arahy.Tifrunner.gnm2.ann2.Ah10g329400"
45602,1,"arahy.Tifrunner.gnm2.ann2.Ah14g470000",19.700747,3.3749537,2.12464195728983e-86,1.08676629734452e-83,1,3.3749537,1.08676629734452e-83,"arahy.Tifrunner.gnm2.ann2.Ah14g470000"
